"Step","mix2n4_eval3tonext_seed1 - 4cover_rate"
"49409640","0.6362000000000001"
"49679280","0.6450999999999999"
"49948920","0.6290999999999999"
"50218560","0.6183"
"50488200","0.6207999999999999"
"50757840","0.641"
"51027480","0.6235"
"51297120","0.6435"
"51566760","0.6317999999999999"
"51836400","0.6275"
"52106040","0.6157999999999999"
"52375680","0.6289000000000001"
"52645320","0.6407"
"52914960","0.5661"
"53184600","0.5753"
"53454240","0.5642"
"53723880","0.571"
"53993520","0.5662"
"54263160","0.5916"
"54532800","0.6144"
"54802440","0.6097"
"55072080","0.5979"
"55341720","0.5855"
"55611360","0.5922999999999999"
"55881000","0.589"
"56150640","0.61"
"56420280","0.6115999999999999"
"56689920","0.5949"
"56959560","0.6064"
"57229200","0.6127"
"57498840","0.6043"
"57768480","0.61"
"58038120","0.6158"
"58307760","0.6136"
"58577400","0.6275"
"58847040","0.5972999999999999"
"59116680","0.6264"
"59386320","0.6287"
"59655960","0.6048"
"59925600","0.6115999999999999"
"60195240","0.613"
"60464880","0.6211"
"60734520","0.6245"
"61004160","0.6274000000000001"
"61273800","0.6213000000000001"
"61543440","0.6379000000000001"
"61813080","0.6394"
"62082720","0.618"
"62352360","0.6253"
"62622000","0.6426000000000001"
"62891640","0.6357"
"63161280","0.6353"
"63430920","0.6565"
"63700560","0.6395"
"63970200","0.635"
"64239840","0.6441"
"64509480","0.6454"
"64779120","0.638"
"65048760","0.6497"
"65318400","0.6242000000000001"
"65588040","0.6470999999999999"
"65857680","0.6321"
"66127320","0.6326"
"66396960","0.6345999999999999"
"66666600","0.6372000000000001"
"66936240","0.6358"
"67205880","0.6638999999999999"
"67475520","0.6365"
"67745160","0.6424000000000001"
"68014800","0.6477"
"68284440","0.6277"
"68554080","0.6440999999999999"
"68823720","0.6369999999999999"
"69093360","0.6350999999999999"
"69363000","0.6447"
"69632640","0.6307"
"69902280","0.6376"
"70171920","0.6537000000000001"
"70441560","0.6463"
"70711200","0.6504"
"70980840","0.6257"
"71250480","0.6528999999999999"
"71520120","0.6503999999999999"
"71789760","0.6397"
"72059400","0.6237"
"72329040","0.627"
"72598680","0.6477"
"72868320","0.6313000000000001"
"73137960","0.6542"
"73407600","0.6412"
"73677240","0.6459"
"73946880","0.649"
"74216520","0.6427"
"74486160","0.6367"
"74755800","0.6363"
"75025440","0.6487"
"75295080","0.6254"
"75564720","0.6427"
"75834360","0.6528999999999999"
"76104000","0.6359000000000001"
"76373640","0.6086"
"76643280","0.6027"
"76912920","0.6219000000000001"
"77182560","0.6332000000000001"
"77452200","0.6167999999999999"
"77721840","0.6256"
"77991480","0.6485"
"78261120","0.6287999999999999"
"78530760","0.632"
"78800400","0.6243"
"79070040","0.6387999999999999"
"79339680","0.6437"
"79609320","0.6445"
"79878960","0.6571"
"80148600","0.6707000000000001"
"80418240","0.6549"
"80687880","0.641"
"80957520","0.6356999999999999"
"81227160","0.6592"
"81496800","0.633"
"81766440","0.6628999999999999"
"82036080","0.647"
"82305720","0.6443"
"82575360","0.642"
"82845000","0.666"
"83114640","0.6413"
"83384280","0.6512"
"83653920","0.6333"
"83923560","0.6483"
"84193200","0.6600999999999999"
"84462840","0.6524000000000001"
"84732480","0.6692"
"85002120","0.6391"
"85271760","0.6555"
"85541400","0.643"
"85811040","0.6385"
"86080680","0.6614000000000001"
"86350320","0.646"
"86619960","0.6204000000000001"
"86889600","0.658"
"87159240","0.6641"
"87428880","0.6355"
"87698520","0.6528999999999999"
"87968160","0.657"
"88237800","0.6414"
"88507440","0.6457999999999999"
"88777080","0.648"
"89046720","0.6579"
"89316360","0.6552"
"89586000","0.6602"
"89855640","0.6472"
"90125280","0.6453"
"90394920","0.6407999999999999"
"90664560","0.6364"
"90934200","0.6378"
"91203840","0.6453"
"91473480","0.6193"
"91743120","0.6347999999999999"
"92012760","0.641"
"92282400","0.6483"
"92552040","0.6496000000000001"
"92821680","0.6476000000000001"
"93091320","0.6611999999999999"
"93360960","0.6507000000000001"
"93630600","0.6516000000000001"
"93900240","0.648"
"94169880","0.6467999999999999"
"94439520","0.6718"
"94709160","0.6782"
"94978800","0.6744"
"95248440","0.6543"
"95518080","0.664"
"95787720","0.653"
